season;time;holidays;events;max load (MW)
spr/fall;T1;N;N;74483
spr/fall;T1;N;N;74503
spr/fall;T1;Y;N;65791
spr/fall;T1;N;N;71352
spr/fall;T2;N;N;66478
spr/fall;T3;N;N;59785
spr/fall;T3;N;N;57108
spr/fall;T1;N;N;66515
spr/fall;T1;N;N;68199
spr/fall;T1;N;N;68605
spr/fall;T1;N;N;68473
spr/fall;T2;N;N;65494
spr/fall;T3;N;N;58210
spr/fall;T3;N;N;57727
spr/fall;T1;N;N;69672
spr/fall;T1;N;N;68500
spr/fall;T1;N;N;71003
spr/fall;T1;N;N;71086
spr/fall;T2;N;N;70243
spr/fall;T3;N;N;64036
spr/fall;T3;N;Y;62012
spr/fall;T1;N;N;76757
winter;T1;N;N;77195
winter;T1;N;N;76481
winter;T1;N;N;76416
winter;T2;N;N;76120
winter;T3;N;N;65599
winter;T3;N;Y;62237
winter;T1;N;N;73810
winter;T1;N;N;75361
winter;T1;N;N;73213
winter;T1;N;N;73942
winter;T2;N;N;74795
winter;T3;N;N;71981
winter;T3;N;Y;74761
winter;T1;N;N;86167
winter;T1;N;N;88296
winter;T1;N;N;89719
winter;T1;N;N;89652
winter;T2;N;N;88718
winter;T3;N;N;86907
winter;T3;N;Y;81481
winter;T1;N;N;85066
winter;T1;N;N;80954
winter;T1;N;N;78573
winter;T1;N;N;72594
winter;T2;Y;N;64913
winter;T3;N;N;70613
winter;T3;N;N;67642
winter;T1;N;N;73938
winter;T1;N;N;68475
winter;T1;N;N;66873
winter;T1;N;Y;66069
winter;T2;Y;N;67290
winter;T3;N;N;74690
winter;T3;N;N;76037
winter;T1;N;N;90810
winter;T1;N;N;91049
winter;T1;N;Y;91308
winter;T1;N;N;91403
winter;T2;N;N;92242
winter;T3;N;N;88725
winter;T3;N;N;84472
winter;T1;N;N;90782
winter;T1;N;N;92050
winter;T1;N;N;87165
winter;T1;N;N;87271
winter;T2;N;N;83228
winter;T3;N;N;77348
winter;T3;N;N;70160
winter;T1;N;N;82514
winter;T1;N;N;85619
winter;T1;N;N;84512
winter;T1;N;N;83283
winter;T2;N;N;81121
winter;T3;N;N;74093
winter;T3;N;N;71769
winter;T1;N;N;83650
winter;T1;N;N;88822
winter;T1;N;N;88749
winter;T1;N;N;87538
winter;T2;N;N;83309
winter;T3;N;N;78379
winter;T3;N;N;78413
winter;T1;N;N;86825
winter;T1;N;N;85786
winter;T1;N;N;80974
winter;T1;N;N;81318
winter;T2;N;N;77098
winter;T3;N;N;70879
winter;T3;N;N;70356
winter;T1;N;N;82737
winter;T1;N;N;88202
winter;T1;N;N;90181
winter;T1;N;N;93402
winter;T2;N;N;88989
winter;T3;N;N;86181
winter;T3;N;Y;82174
winter;T1;N;N;87123
winter;T1;N;N;85880
winter;T1;N;N;84072
winter;T1;N;N;79806
winter;T2;N;N;78834
winter;T3;N;N;72992
winter;T3;N;N;70118
winter;T1;N;N;75582
winter;T1;N;N;72859
winter;T1;N;N;73673
winter;T1;N;N;72544
winter;T2;N;N;71248
winter;T3;N;N;66557
winter;T3;N;N;64535
spr/fall;T1;N;N;74038
spr/fall;T1;N;N;73133
spr/fall;T1;N;N;77142
spr/fall;T1;N;N;77794
spr/fall;T2;N;N;78891
spr/fall;T3;N;N;72517
spr/fall;T3;N;N;77056
spr/fall;T1;N;N;84239
spr/fall;T1;N;N;85073
spr/fall;T1;N;N;86202
spr/fall;T1;N;N;85870
spr/fall;T2;N;N;84963
spr/fall;T3;N;N;72701
spr/fall;T3;N;N;70500
spr/fall;T1;N;N;76675
spr/fall;T1;N;N;76319
spr/fall;T1;N;N;73221
spr/fall;T1;N;N;68986
spr/fall;T2;N;N;65100
spr/fall;T3;N;N;58122
spr/fall;T3;N;N;58452
spr/fall;T1;N;N;65414
spr/fall;T1;N;N;63821
spr/fall;T1;N;N;63799
spr/fall;T1;N;N;64521
spr/fall;T2;N;N;64729
spr/fall;T3;N;N;60160
spr/fall;T3;N;Y;56825
spr/fall;T1;N;N;64017
spr/fall;T1;N;N;66117
spr/fall;T1;N;N;69519
spr/fall;T1;N;N;71366
spr/fall;T2;N;N;69821
spr/fall;T3;N;N;62311
spr/fall;T3;N;Y;60077
spr/fall;T1;Y;N;58209
spr/fall;T1;N;N;66949
spr/fall;T1;N;N;64216
spr/fall;T1;N;N;66368
spr/fall;T2;N;N;65117
spr/fall;T3;N;N;53317
spr/fall;T3;N;N;55020
spr/fall;T1;N;N;64451
spr/fall;T1;N;N;66058
spr/fall;T1;N;N;66056
spr/fall;T1;N;N;64168
spr/fall;T2;N;N;63036
spr/fall;T3;N;N;53404
spr/fall;T3;N;N;50558
spr/fall;T1;N;N;57854
spr/fall;T1;N;N;58721
spr/fall;T1;N;N;59020
spr/fall;T1;N;N;59307
spr/fall;T2;N;N;59045
spr/fall;T3;N;N;50735
spr/fall;T3;N;N;48439
spr/fall;T1;N;N;56921
spr/fall;T1;N;N;56659
spr/fall;T1;N;N;56318
spr/fall;T1;N;N;56564
spr/fall;T2;N;N;56129
spr/fall;T3;Y;N;47408
spr/fall;T3;N;N;49389
spr/fall;T1;N;N;61232
spr/fall;T1;N;N;65532
spr/fall;T1;N;N;67261
spr/fall;T1;N;N;66583
spr/fall;T2;N;N;64788
spr/fall;T3;Y;N;54212
spr/fall;T3;N;Y;52061
spr/fall;T1;N;N;60568
spr/fall;T1;N;N;63467
spr/fall;T1;N;N;63893
spr/fall;T1;Y;N;55452
spr/fall;T2;N;N;58193
spr/fall;T3;N;N;54230
spr/fall;T3;N;N;52158
spr/fall;T1;N;N;59761
spr/fall;T1;N;N;58841
spr/fall;T1;N;N;59022
spr/fall;T1;N;N;58220
spr/fall;T2;N;N;56662
spr/fall;T3;N;N;49231
spr/fall;T3;N;Y;46891
spr/fall;T1;Y;N;48172
spr/fall;T1;N;N;56844
spr/fall;T1;N;N;57019
spr/fall;T1;N;N;55458
spr/fall;T2;N;N;55763
spr/fall;T3;N;N;49524
spr/fall;T3;N;Y;47764
spr/fall;T1;N;N;56862
summer;T1;N;N;57235
summer;T1;N;N;57751
summer;T1;N;N;56839
summer;T2;N;N;56762
summer;T3;N;N;50056
summer;T3;N;N;46804
summer;T1;N;N;55886
summer;T1;N;N;57206
summer;T1;N;N;57702
summer;T1;N;N;57927
summer;T2;N;N;57091
summer;T3;N;N;49824
summer;T3;N;N;46854
summer;T1;N;N;56251
summer;T1;N;N;56992
summer;T1;N;N;57181
summer;T1;N;N;56959
summer;T2;N;N;56611
summer;T3;N;N;50232
summer;T3;N;Y;48024
summer;T1;N;N;56847
summer;T1;N;N;56711
summer;T1;N;N;57043
summer;T1;N;N;54970
summer;T2;N;N;56896
summer;T3;N;N;50450
summer;T3;N;N;48730
summer;T1;N;N;58085
summer;T1;N;N;58927
summer;T1;N;N;59306
summer;T1;N;N;60032
summer;T2;N;N;60386
summer;T3;N;N;51945
summer;T3;N;N;49348
summer;T1;N;N;58288
summer;T1;N;N;58787
summer;T1;N;N;59033
summer;T1;N;N;60331
summer;T2;N;N;60384
summer;T3;N;N;52178
summer;T3;N;N;50421
summer;T1;N;N;59223
summer;T1;N;N;59530
summer;T1;N;Y;50751
summer;T1;N;N;57833
summer;T2;N;N;58531
summer;T3;N;N;50390
summer;T3;N;N;48627
summer;T1;N;N;57932
summer;T1;N;N;59487
summer;T1;N;N;58746
summer;T1;N;N;58257
summer;T2;N;N;56673
summer;T3;N;N;49073
summer;T3;N;N;47157
summer;T1;N;N;55528
summer;T1;N;N;56519
summer;T1;N;N;57261
summer;T1;N;N;56635
summer;T2;N;N;54825
summer;T3;N;N;48773
summer;T3;N;N;45636
summer;T1;N;N;51835
summer;T1;N;N;51554
summer;T1;N;N;51831
summer;T1;N;N;51183
summer;T2;N;N;50651
summer;T3;N;N;46252
summer;T3;N;N;45022
summer;T1;N;N;50350
summer;T1;N;N;51063
summer;T1;N;N;51187
summer;T1;N;N;50841
summer;T2;N;N;50273
summer;T3;N;N;45888
summer;T3;Y;N;44321
summer;T1;N;N;50770
summer;T1;N;N;51092
summer;T1;N;N;51550
summer;T1;N;N;51794
summer;T2;N;N;52622
summer;T3;N;N;48230
summer;T3;N;N;46749
summer;T1;N;N;54986
summer;T1;N;N;55364
summer;T1;N;N;55630
summer;T1;N;N;57348
summer;T2;N;N;56841
summer;T3;N;N;48790
summer;T3;N;N;46916
summer;T1;N;N;55886
summer;T1;N;N;56471
spr/fall;T1;N;N;56608
spr/fall;T1;N;N;56898
spr/fall;T2;N;N;56760
spr/fall;T3;N;N;49750
spr/fall;T3;N;N;47044
spr/fall;T1;N;N;56275
spr/fall;T1;N;N;55181
spr/fall;T1;N;N;57057
spr/fall;T1;N;N;56385
spr/fall;T2;N;N;55994
spr/fall;T3;N;N;49502
spr/fall;T3;N;N;46741
spr/fall;T1;N;N;55615
spr/fall;T1;N;N;56546
spr/fall;T1;N;N;57431
spr/fall;T1;N;N;57140
spr/fall;T2;N;N;56843
spr/fall;T3;N;N;50057
spr/fall;T3;N;N;47346
spr/fall;T1;N;N;56081
spr/fall;T1;N;N;57015
spr/fall;T1;N;N;57295
spr/fall;T1;N;N;55181
spr/fall;T2;N;N;56945
spr/fall;T3;N;N;50841
spr/fall;T3;N;N;50365
spr/fall;T1;N;N;59814
spr/fall;T1;N;N;60869
spr/fall;T1;N;N;60294
spr/fall;T1;N;N;60077
spr/fall;T2;N;N;59627
spr/fall;T3;N;N;52710
spr/fall;T3;N;N;50629
spr/fall;T1;N;N;59126
spr/fall;T1;N;N;59905
spr/fall;T1;N;N;59589
spr/fall;T1;N;N;59085
spr/fall;T2;N;N;57885
spr/fall;T3;N;N;51142
